Id,Type
1,Nineoneone
2,911
3,Accused
4,Accuser
5,Adversary
6,AFIS
7,Alibi
8,Allegation
9,Ammunition
10,APB
11,Armed
12,Arraignment
13,Arrest
14,Arson
15,Assailant
16,Assault
17,assault
18,Attack
19,Autopsy
20,Backup
21,Bail
22,Ballistics
23,Bars
24,beheading
25,Belligerence
26,Blackmail
27,Bloodstain
28,Bombing
29,Brawl
30,Breach
31,Bribery
32,Brutality
33,Burglary
34,Bystander
35,Chase
36,Cheat
37,Coercion
38,Collusion
39,Combat
40,Confession
41,Conspiracy
42,Conviction
43,Cops
44,Coroner
45,Corruption
46,Counterfeit
47,Court
48,Crime
49,Criminal
50,Cuffs
51,Custody
52,Damage
53,Danger
54,Deadly
55,Death
56,Defendant
57,Delinquency
58,Detain
59,Drugs
60,Embezzle
61,Escape
62,Eviction
63,Evidence
64,Evil
65,Explosives
66,Expunge
67,Extort
68,Extradition
69,FBI
70,Felony
71,Fight
72,Fighting
73,Fingerprint
74,FIR
75,Firebombing
76,Flee
77,Footprints
78,Force
79,Forgery
80,forgery
81,Fraud
82,Furtive
83,Gory
84,Guilty
85,Gun
86,Handcuffs
87,Harassment
88,Harmful
89,Heinous
90,Hijack
91,Holster
92,Homicide
93,Hostage
94,hunting
95,Illegal
96,Immoral
97,Impeach
98,Imprison
99,Indictment
100,Injured
101,Injury
102,Inquest
103,Interrogate
104,Intruder
105,Investigate
106,Investigation
107,Jail
108,Judge
109,Judgment
110,Jury
111,Justice
112,Juvenile
113,Kidnapping
114,Kill
115,Killer
116,Killer
117,Larceny
118,Leaks
119,Lethal
120,Libel
121,Lowlife
122,Lynch
123,Malice
124,Malpractice
125,Manacled
126,Manslaughter
127,Man-slaughter
128,Marshal
129,Miscreant
130,Misdemeanor
131,Missing
132,Money Laundering
133,Murder
134,Murderer
135,Offender
136,Offense
137,Patrol
138,Penalize
139,Penalty
140,Perjury
141,Perpetrator
142,Phony
143,Plea
144,Plead
145,Police
146,Precedent
147,Prison
148,Probation
149,Proof
150,Prosecute
151,Prosecutor
152,Prostitution
153,Punishment
154,Quarrel
155,Quell
156,Raid
157,Rape
158,Raped
159,Reprobate
160,rescue
161,Resist
162,Restraining
163,Revenge
164,rifle
165,Rights
166,Riot
167,Robbery
168,Rogue
169,Sabotage
170,Seize
171,Seizure
172,Sentenced
173,Sergeant
174,Serial killer
175,Shackles
176,Sheriff
177,Shyster
178,Slander
179,Slashing
180,slaughter
181,Slaying
182,Smuggling
183,Spying
184,Squad
185,Stabbing
186,Stalking
187,Subpoena
188,Summons
189,Suspect
190,Suspected
191,Suspicion
192,Suspicious
193,Terrorism
194,Testify
195,Theft
196,theft
197,Threatening
198,Threestrikes
199,Tire-slashing
200,Torture
201,Toxicology
202,Traffic
203,Trafficking
204,Trespass
205,Trial
206,Unconstitutional
207,Unjust
208,Unlawful
209,Vandalism
210,Victim
211,Victimize
212,Violate
213,Violation
214,Violence
215,Voyeurism
216,Warning
217,Warrant
218,Weapon
219,Wiretap
220,Witness
