COUNTRY,POP_GROWTH,LAT,LNG
NZL,1.1976742729,-41,174
ARG,0.8696088839,-34,-64
URY,0.3475631871,-33,-56
CHL,0.9272368505,-30,-71
LSO,1.0238211286,-29.5,28.5
ZAF,1.3516270634,-29,24
AUS,1.7032739775,-27,133
SWZ,1.5045299496,-26.5,31.5
PRY,1.7607851966,-23,-58
BWA,1.2721177658,-22,24
NAM,1.8213832949,-22,17
NCL,1.4570488079,-21.5,165.5
COK,0.6527567436,-21.2333,-159.7667
MUS,0.4608586089,-20.2833,57.55
MDG,2.8880475689,-20,47
TON,0.519326526,-20,-175
ZWE,0.7782851378,-20,30
NIU,-2.8870753098,-19.0333,-169.8667
MOZ,2.3013565969,-18.25,35
FJI,0.969098262,-18,175
BOL,1.5876666836,-17,-65
VUT,2.4760421825,-16,167
PYF,1.1436676678,-15,-140
ZMB,1.5802416581,-15,30
ASM,1.6326652701,-14.3333,-170
WSM,0.3721117782,-13.5833,-172.3333
MWI,3.1256946163,-13.5,34
MYT,3.1068411886,-12.8333,45.1667
AGO,2.7995378359,-12.5,18.5
COM,2.6165830622,-12.1667,44.25
BRA,0.8757862788,-10,-55
PER,1.0765698348,-10,-76
SLB,2.6403409777,-8,159
TUV,0.2139256151,-8,178
PNG,2.2845597699,-6,147
TZA,2.9798473382,-6,35
IDN,1.0293478597,-5,120
SYC,-0.8894163554,-4.5833,55.6667
BDI,2.5614523062,-3.5,30
ECU,1.4145668083,-2,-77.5
RWA,2.987810664,-2,30
COG,2.5412318131,-1,15
GAB,1.8739546366,-1,11.75
NRU,0.4201892145,-0.5333,166.9167
KEN,2.6272113285,1,38
STP,1.7578339375,1,7
UGA,3.2127170021,1,32
SGP,1.7706612065,1.3667,103.8
KIR,1.5376897961,1.4167,173
GNQ,2.7921866964,2,10
MYS,1.6029400814,2.5,112.5
MDV,1.3211924045,3.25,73
COL,1.3938339205,4,-72
SUR,0.9143220641,4,-56
BRN,1.7914958545,4.5,114.6667
GUY,0.196350857,5,-59
CMR,2.1864073469,6,12
LBR,4.0412132359,6.5,-9.5
FSM,0.3499597691,6.9167,158.25
CAF,1.9021401031,7,21
LKA,0.9189141301,7,81
PLW,0.6173766486,7.5,134.5
CIV,1.9841815815,8,-5
ETH,2.1468097132,8,38
GHA,2.3537603642,8,-2
TGO,2.1114383889,8,1.1667
VEN,1.5729640263,8,-66
SLE,2.2098752203,8.5,-11.5
MHL,1.1951665991,9,168
PAN,1.5739312041,9,-80
BEN,2.8437143264,9.5,2.25
CRI,1.4724455856,10,-84
NGA,2.5152930208,10,8
SOM,2.2875335162,10,49
GIN,2.2325310996,11,-10
TTO,0.38210318,11,-61
DJI,1.8885094816,11.5,43
GNB,2.0741278808,12,-15
GRD,0.3739504991,12.1167,-61.6667
ABW,0.8183137677,12.5,-69.9667
BFA,2.9844270856,13,-2
KHM,1.1406518529,13,105
NIC,1.355566702,13,-85
PHL,1.6843772534,13,122
BRB,0.2127890255,13.1667,-59.5333
VCT,0.0585539033,13.25,-61.2
GMB,2.7367249672,13.4667,-16.5667
GUM,1.2242779516,13.4667,144.7833
SLV,0.5273047628,13.8333,-88.9167
LCA,1.1027145406,13.8833,-61.1333
SEN,2.6640133016,14,-14
ERI,3.0080108418,15,39
HND,2.0013495516,15,-86.5
SDN,2.4960702592,15,30
TCD,2.6180444236,15,19
THA,0.6038137236,15,100
YEM,3.0575994004,15,48
MNP,-0.908577212,15.2,145.75
DMA,-0.2432212521,15.4167,-61.3333
GTM,2.5002998307,15.5,-90.25
CPV,0.8865816158,16,-24
NER,3.5411932753,16,8
VNM,1.0544255957,16,106
MLI,3.0385543888,17,-4
ATG,1.0288343108,17.05,-61.8
BLZ,3.393156323,17.25,-88.75
KNA,1.2481679796,17.3333,-62.75
LAO,1.4416027017,18,105
JAM,0.2482448152,18.25,-77.5
PRI,0.2872897613,18.25,-66.5
VIR,-0.0455373414,18.3333,-64.8333
DOM,1.3229442823,19,-70.6667
HTI,1.2993367034,19,-72.4167
CYM,0.8339855291,19.5,-80.5
IND,1.3403818399,20,77
MRT,2.4028699862,20,-12
OMN,2.558808373,21,57
CUB,-0.041286632,21.5,-80
TCA,2.8643280489,21.75,-71.5833
MMR,0.7568504156,22,98
MAC,2.3187508428,22.1667,113.55
HKG,0.911067667,22.25,114.1667
MEX,1.2327842555,23,-102
ARE,7.9329463089,24,54
BGD,1.1240299655,24,90
BHS,1.3267275716,24.25,-76
LBY,1.4653395682,25,17
SAU,2.3554870124,25,45
QAT,9.6022000624,25.5,51.25
BHR,7.5924010735,26,50.55
EGY,1.7469951374,27,30
BTN,1.705370222,27.5,90.5
DZA,1.4713470407,28,3
NPL,1.7734168004,28,84
